stock,drawdown
ALKYLAMINE,-0.29644008734090277
TATAINVEST,-0.29194803861739405
JSWHL,-0.2908602809692188
CONCOR,-0.28932367036484075
ICICIBANK,-0.2871055690045707
ASIANPAINT,-0.2867834610296157
ITC,-0.28555191406266894
INFY,-0.2846842631049432
TATACHEM,-0.27749206964525447
BAJAJFINSV,-0.27384560276320874
RATNAMANI,-0.27115693927737755
SOLARINDS,-0.2679155907009282
PGHL,-0.26194111875960363
BAJAJ-AUTO,-0.25987029720759486
NTPC,-0.2592874014208028
HONAUT,-0.25861327861891487
PETRONET,-0.25663557383307584
DABUR,-0.2541921542856291
KOTAKBANK,-0.25293772515304797
AKZOINDIA,-0.23953998173016885
AARTIIND,-0.23769665435920448
PIDILITIND,-0.2342210761061683
TCS,-0.23066370402274056
MARICO,-0.22859384191619903
ATUL,-0.2221665773413345
RELIANCE,-0.21849883195701614
BAJAJHLDNG,-0.2075473178820797
CUB,-0.20108564652706537
GRINDWELL,-0.20092628125713943
LT,-0.19758483400869373
NAUKRI,-0.19413503399718865
AIAENG,-0.19360056435201803
POWERGRID,-0.1924793199212291
HCLTECH,-0.18826919669260533
SKFINDIA,-0.18498498674212652
PGHH,-0.17383609304124142
COLPAL,-0.17238229344415648
SANOFI,-0.17218378772776896
HINDUNILVR,-0.16589560915458076
HDFCBANK,-0.13187102631569017
