stock,sharpes_ratio
BAJFINANCE,20.13961917254984
BAJAJFINSV,17.690905528349436
PGHL,17.383486283981558
IGL,17.028659256154143
HDFCBANK,16.10648734909208
UNOMINDA,15.847023281917792
BATAINDIA,15.558906053236015
TATAMETALI,14.53165341955439
HONAUT,14.409810688527331
RELIANCE,14.409604719519859
OLECTRA,13.872591474632491
CUB,13.488906482040594
HINDUNILVR,13.292636057131816
AARTIIND,13.030577306173539
BHARATRAS,12.96809518371715
PIDILITIND,12.272253783680483
DHANI,12.227554605045334
BIOCON,11.934796053602154
PGHH,11.635616006618868
SUNDRMFAST,11.586053276532141
HEG,11.312657762708875
KOTAKBANK,11.28841587370389
BERGEPAINT,11.114228705483928
PCBL,11.036607078788617
KEI,10.962037626745259
BALKRISIND,10.946161904067859
MAHSCOOTER,10.913473466878344
COROMANDEL,10.860056802686612
ESCORTS,10.54837781765163
ATUL,10.3971174811506
GRAPHITE,10.387885363475553
JSWSTEEL,10.29736132568343
GARFIBRES,10.206333642299288
SUDARSCHEM,10.012415581158182
ALKYLAMINE,9.879409880970904
NAUKRI,9.81558490282148
SRF,9.750823542516962
COFORGE,9.699427530839072
HSCL,9.265819471651003
ASIANPAINT,9.105343284119797
