,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,749793645.679897,5834055.375519,2377615606.794319
Tax Rate For Calcs,0.273223,0.339189,0.282086
Normalized EBITDA,6078950000.0,4091800000.0,4335390000.0
Total Unusual Items,2744260000.0,17200000.0,8428700000.0
Total Unusual Items Excluding Goodwill,2744260000.0,17200000.0,8428700000.0
Net Income From Continuing Operation Net Minority Interest,5072180000.0,1510990000.0,7271790000.0
Reconciled Depreciation,1813670000.0,1760000000.0,1772540000.0
Reconciled Cost Of Revenue,6948900000.0,3532840000.0,4330440000.0
EBITDA,8823210000.0,4109000000.0,12764090000.0
EBIT,7009540000.0,2349000000.0,10991550000.0
Net Interest Income,163750000.0,11480000.0,-840500000.0
Interest Expense,30540000.0,62430000.0,862500000.0
Interest Income,194290000.0,73910000.0,22000000.0
Normalized Income,3077713645.679897,1499624055.375519,1220705606.794319
Net Income From Continuing And Discontinued Operation,5072180000.0,1510990000.0,7271790000.0
Total Expenses,17458060000.0,12668270000.0,15201130000.0
Rent Expense Supplemental,15220000.0,13140000.0,54820000.0
Diluted Average Shares,85289726.0,85284223.0,85284223.0
Basic Average Shares,85289726.0,85284223.0,85284223.0
Diluted EPS,59.47,17.72,85.27
Basic EPS,59.47,17.72,85.27
Diluted NI Availto Com Stockholders,5072180000.0,1510990000.0,7271790000.0
Net Income Common Stockholders,5072180000.0,1510990000.0,7271790000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,5072180000.0,1510990000.0,7271790000.0
Net Income Including Noncontrolling Interests,5072180000.0,1510990000.0,7271790000.0
Net Income Continuous Operations,5072180000.0,1510990000.0,7271790000.0
Tax Provision,1906820000.0,775580000.0,2857260000.0
Pretax Income,6979000000.0,2286570000.0,10129050000.0
Other Non Operating Income Expenses,139780000.0,112240000.0,73460000.0
Special Income Charges,2744260000.0,17200000.0,8428700000.0
Other Special Charges,-2934000000.0,-17200000.0,-8428700000.0
Write Off,189740000.0,,
Net Non Operating Interest Income Expense,163750000.0,11480000.0,-840500000.0
Interest Expense Non Operating,30540000.0,62430000.0,862500000.0
Interest Income Non Operating,194290000.0,73910000.0,22000000.0
Operating Income,3657320000.0,2037710000.0,2411930000.0
Operating Expense,10509160000.0,9135430000.0,10870690000.0
Other Operating Expenses,8060910000.0,6559240000.0,7822870000.0
Depreciation And Amortization In Income Statement,1813670000.0,1760000000.0,1772540000.0
Amortization,3600000.0,3600000.0,5130000.0
Depreciation Income Statement,1810070000.0,1756400000.0,1767410000.0
Selling General And Administration,116880000.0,115220000.0,84550000.0
Selling And Marketing Expense,,1106030000.0,
General And Administrative Expense,116880000.0,115220000.0,84550000.0
Rent And Landing Fees,15220000.0,13140000.0,54820000.0
Gross Profit,14166480000.0,11173140000.0,13282620000.0
Cost Of Revenue,6948900000.0,3532840000.0,4330440000.0
Total Revenue,21115380000.0,14705980000.0,17613060000.0
Operating Revenue,21115380000.0,14705980000.0,17613060000.0
