stock, weight
RENUKA, -0.1982459523408513
ALOKINDS, -0.1510675078961728
SADBHAV, -0.6126047057570408
TATACHEM, 1.0
NIITLTD, 0.0055782006001719
NAVA, -0.1445322180437374
SURYAROSNI, -0.0949085693632678
JINDALPOLY, -0.4448427247168316
HMT, -0.494341673271866
PFC, -0.0067687420926878
DALMIASUG, 0.2322458075460641
SREINFRA, -0.5626989414617097
EVEREADY, -0.5624643132825213
GHCL, 0.137507003971197
FACT, -0.1380117024826787
WSTCSTPAPR, 0.4986581713530809
PTC, -0.0299331830110386
ELECON, -0.277962821754218
INDIANB, 0.0136109148893351
JINDALSAW, 0.1048474802288411
IRB, -0.6011989376269553
POLYPLEX, 1.0
RECLTD, 0.5409019889235559
JKPAPER, 0.370167986822836
KTKBANK, -0.3041348785241589
BOMDYEING, 0.1191618116129169
JKIL, -0.2018009738328557
HCC, -0.1703151939570889
NCC, -0.2018289892367872
GNFC, 0.1842713852488476
GAIL, 0.4123495652249934
COSMOFIRST, 0.0109848223743953
DAAWAT, 0.0348651298518806
HINDOILEXP, 0.4720899768481965
PCBL, 0.5621230637710273
CHAMBLFERT, 0.570492345431455
CESC, 0.615686764583479
NLCINDIA, -0.1639970558352597
TNPL, -0.3675009523236802
SAIL, -0.1563823824708667
